"Districts","R25_2020","R30_2000","R31_2000","R31_2022","R40_2012","R48_2014","R67_2016","R72_2004","R94_2008","R95_2008","R96_2008","R97_2008"
"1",0.319,0.371,0.314,0.553,0.734,0.332,0.422,0.495,0.432,0.432,0.432,0.432
"2",0.503,0.241,0.221,0.684,0.744,0.392,0.631,0.351,0.507,0.507,0.508,0.508
"3",0.313,0.251,0.215,0.512,0.695,0.351,0.416,0.385,0.517,0.518,0.518,0.518
"4",0.48,0.249,0.233,0.677,0.743,0.342,0.591,0.349,0.544,0.545,0.545,0.545
"5",0.305,0.267,0.256,0.566,0.695,0.37,0.405,0.377,0.516,0.517,0.516,0.516
"6",0.333,0.433,0.369,0.649,0.75,0.336,0.421,0.523,0.391,0.39,0.39,0.39
"7",0.489,0.386,0.338,0.58,0.718,0.401,0.579,0.53,0.435,0.435,0.435,0.436
"8",0.395,0.306,0.279,0.522,0.723,0.351,0.474,0.512,0.52,0.52,0.52,0.52
"9",0.419,0.351,0.319,0.526,0.702,0.382,0.478,0.568,0.483,0.483,0.482,0.482
"10",0.588,0.259,0.249,0.642,0.794,0.358,0.718,0.4,0.52,0.521,0.52,0.52
"11",0.435,0.308,0.278,0.631,0.696,0.387,0.449,0.563,0.508,0.505,0.507,0.506
"12",0.325,0.559,0.436,0.773,0.676,0.347,0.38,0.663,0.421,0.42,0.42,0.416
"13",0.43,0.633,0.445,0.61,0.675,0.417,0.443,0.709,0.391,0.389,0.388,0.386
"14",0.51,0.54,0.405,0.815,0.726,0.373,0.567,0.657,0.412,0.411,0.41,0.41
"15",0.656,0.31,0.285,0.681,0.796,0.431,0.776,0.421,0.525,0.525,0.525,0.525
"16",0.482,0.473,0.373,0.743,0.768,0.335,0.604,0.726,0.428,0.428,0.427,0.427
"17",0.592,0.253,0.24,0.787,0.823,0.475,0.784,0.514,0.56,0.559,0.558,0.559
"18",0.61,0.344,0.304,0.782,0.747,0.434,0.727,0.599,0.496,0.496,0.496,0.495
"19",0.526,0.455,0.385,0.775,0.782,0.417,0.719,0.553,0.47,0.47,0.47,0.47
"20",0.52,0.343,0.311,0.704,0.717,0.381,0.635,0.568,0.521,0.522,0.521,0.521
"21",0.36,0.449,0.371,0.744,0.665,0.376,0.415,0.497,0.475,0.475,0.475,0.475
"22",0.541,0.368,0.314,0.546,0.772,0.364,0.673,0.529,0.503,0.503,0.503,0.502
"23",0.309,0.364,0.322,0.77,0.626,0.361,0.395,0.646,0.55,0.549,0.549,0.549
"24",0.592,0.336,0.296,0.707,0.811,0.369,0.712,0.504,0.526,0.525,0.525,0.524
"25",0.511,0.253,0.237,0.679,0.744,0.374,0.644,0.383,0.555,0.556,0.555,0.554
"26",0.292,0.228,0.218,0.743,0.667,0.326,0.357,0.447,0.536,0.537,0.535,0.536
"27",0.516,0.378,0.338,0.541,0.732,0.419,0.651,0.532,0.549,0.548,0.547,0.548
"28",0.52,0.274,0.25,0.72,0.78,0.371,0.663,0.564,0.578,0.578,0.576,0.577
"29",0.528,0.267,0.242,0.637,0.77,0.512,0.696,0.367,0.564,0.564,0.565,0.564
"30",0.443,0.25,0.233,0.654,0.724,0.482,0.588,0.475,0.575,0.574,0.575,0.575
"31",0.372,0.218,0.243,0.549,0.615,0.391,0.42,0.525,0.563,0.562,0.562,0.562
"32",0.336,0.213,0.205,0.448,0.648,0.346,0.388,0.358,0.622,0.623,0.622,0.622
"33",0.332,0.26,0.244,0.477,0.672,0.381,0.341,0.419,0.617,0.618,0.618,0.618
"34",0.271,0.232,0.216,0.495,0.699,0.329,0.351,0.377,0.599,0.6,0.599,0.599
"35",0.378,0.295,0.273,0.536,0.742,0.489,0.553,0.486,0.565,0.566,0.564,0.564
"36",0.361,0.243,0.226,0.557,0.65,0.384,0.367,0.443,0.625,0.626,0.625,0.623
"37",0.495,0.265,0.257,0.653,0.753,0.44,0.616,0.383,0.632,0.633,0.633,0.632
"38",0.358,0.301,0.284,0.64,0.689,0.37,0.444,0.395,0.622,0.623,0.622,0.621
"39",0.439,0.319,0.295,0.552,0.658,0.4,0.577,0.656,0.643,0.644,0.643,0.642
"40",0.398,0.379,0.348,0.597,0.675,0.356,0.401,0.52,0.615,0.616,0.615,0.614
"41",0.441,0.418,0.377,0.642,0.716,0.377,0.548,0.492,0.599,0.599,0.599,0.598
"42",0.373,0.507,0.46,0.637,0.713,0.437,0.429,0.582,0.58,0.581,0.581,0.58
"43",0.447,0.349,0.325,0.647,0.734,0.433,0.632,0.561,0.583,0.583,0.583,0.581
"44",0.414,0.335,0.313,0.694,0.729,0.402,0.486,0.52,0.56,0.561,0.561,0.56
"45",0.439,0.393,0.36,0.59,0.707,0.4,0.598,0.735,0.584,0.586,0.586,0.582
"46",0.483,0.36,0.324,0.665,0.724,0.46,0.652,0.76,0.614,0.613,0.612,0.61
"47",0.426,0.465,0.435,0.583,0.663,0.374,0.432,0.704,0.557,0.558,0.557,0.555
"48",0.415,0.46,0.454,0.606,0.665,0.359,0.466,0.825,0.55,0.551,0.548,0.546
"49",0.42,0.326,0.295,0.678,0.694,0.369,0.522,0.583,0.605,0.606,0.605,0.602
"50",0.506,0.263,0.252,0.585,0.75,0.485,0.71,0.686,0.609,0.61,0.608,0.607
"51",0.471,0.387,0.372,0.745,0.697,0.466,0.685,0.699,0.565,0.566,0.565,0.563
"52",0.416,0.389,0.379,0.742,0.668,0.347,0.438,0.811,0.561,0.561,0.558,0.556
"53",0.494,0.333,0.305,0.577,0.704,0.466,0.661,0.47,0.59,0.591,0.591,0.59
"54",0.535,0.299,0.274,0.684,0.692,0.462,0.686,0.477,0.595,0.596,0.596,0.595
"55",0.364,0.372,0.355,0.75,0.705,0.352,0.405,0.612,0.598,0.598,0.596,0.596
"56",0.406,0.256,0.243,0.625,0.693,0.507,0.516,0.553,0.609,0.611,0.61,0.609
"57",0.408,0.291,0.272,0.673,0.664,0.359,0.472,0.585,0.62,0.62,0.619,0.618
"58",0.43,0.274,0.258,0.555,0.665,0.38,0.491,0.568,0.609,0.61,0.609,0.608
"59",0.494,0.279,0.265,0.557,0.607,0.351,0.587,0.394,0.595,0.596,0.595,0.594
"60",0.36,0.275,0.262,0.565,0.684,0.36,0.378,0.372,0.604,0.604,0.604,0.603
"61",0.423,0.251,0.24,0.702,0.689,0.383,0.426,0.546,0.603,0.604,0.602,0.602
"62",0.518,0.301,0.28,0.624,0.644,0.381,0.613,0.607,0.625,0.627,0.625,0.624
"63",0.443,0.256,0.244,0.522,0.655,0.391,0.519,0.428,0.617,0.619,0.617,0.616
"64",0.483,0.263,0.254,0.603,0.581,0.347,0.518,0.418,0.63,0.63,0.629,0.63
"65",0.414,0.257,0.237,0.645,0.707,0.366,0.431,0.431,0.62,0.622,0.62,0.62
"66",0.418,0.227,0.216,0.653,0.701,0.379,0.505,0.375,0.603,0.603,0.601,0.602
"67",0.329,0.275,0.259,0.6,0.695,0.368,0.345,0.383,0.607,0.607,0.606,0.606
"68",0.392,0.293,0.267,0.599,0.738,0.356,0.411,0.455,0.604,0.605,0.604,0.603
"69",0.459,0.322,0.286,0.645,0.699,0.394,0.488,0.585,0.606,0.606,0.604,0.604
"70",0.469,0.306,0.285,0.565,0.687,0.414,0.58,0.369,0.598,0.598,0.598,0.598
"71",0.322,0.256,0.245,0.541,0.728,0.327,0.385,0.337,0.613,0.613,0.612,0.613
"72",0.378,0.244,0.233,0.568,0.705,0.384,0.421,0.383,0.584,0.584,0.583,0.583
"73",0.353,0.265,0.248,0.633,0.761,0.361,0.414,0.363,0.614,0.614,0.612,0.614
"74",0.415,0.232,0.211,0.573,0.754,0.365,0.473,0.378,0.607,0.607,0.597,0.607
"75",0.36,0.21,0.193,0.506,0.75,0.356,0.422,0.389,0.609,0.608,0.594,0.607
"76",0.412,0.262,0.238,0.599,0.758,0.403,0.535,0.518,0.59,0.59,0.578,0.59
"77",0.423,0.236,0.213,0.663,0.783,0.401,0.511,0.379,0.559,0.559,0.548,0.559
"78",0.528,0.277,0.248,0.645,0.791,0.46,0.643,0.519,0.595,0.593,0.587,0.593
"79",0.452,0.27,0.245,0.604,0.74,0.42,0.535,0.57,0.593,0.592,0.587,0.592
"80",0.454,0.256,0.243,0.606,0.711,0.428,0.564,0.526,0.642,0.643,0.641,0.644
